                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6878,                 3.3859,                  2.143,                 0.1762,                    0.2,                0.15826,                0.05583,                  2.335,                  2.822,                 3.3394,               0.070545,              0.0032727,              0.0032727
                      1,                  1.267,                 1.9629,                 1.8428,                0.34394,                0.30556,                0.25946,                0.12497,                 2.2896,                 2.6209,                 3.4364,               0.040284,              0.0063445,              0.0063445
                      2,                 1.1897,                 1.7105,                 1.7963,                0.59132,                0.46667,                0.48179,                0.22066,                 1.9873,                 2.1012,                 3.0045,              0.0097583,              0.0091522,              0.0091522
                      3,                 1.1894,                 1.5445,                 1.7541,                0.26918,                0.53333,                0.40894,                0.17995,                 1.9458,                  2.452,                 2.9394,               0.008812,               0.008812,               0.008812
                      4,                 1.1611,                 1.4638,                 1.7313,                0.41144,                0.28889,                0.28901,                0.13432,                 1.8607,                 2.3178,                 2.8219,               0.008812,               0.008812,               0.008812
                      5,                 1.1062,                 1.3976,                 1.6957,                0.41091,                0.31111,                0.29484,                0.12622,                 2.1932,                 2.8741,                 3.4336,               0.008416,               0.008416,               0.008416
                      6,                  1.092,                 1.3631,                 1.6808,                0.43816,                0.41667,                0.38483,                0.18867,                 2.0734,                 1.9345,                 3.2288,                0.00802,                0.00802,                0.00802
                      7,                 1.0469,                 1.2777,                  1.628,                 0.3937,                0.33282,                0.32242,                0.17915,                 2.0326,                 2.2074,                 3.4826,               0.007624,               0.007624,               0.007624
                      8,                 1.0252,                 1.2263,                  1.615,                0.36767,                0.40556,                0.33481,                0.15671,                  1.996,                 2.1968,                 3.3035,               0.007228,               0.007228,               0.007228
                      9,                 1.0297,                 1.1809,                  1.605,                0.57986,                0.62118,                0.54539,                0.28269,                  1.674,                 1.5362,                 2.8693,               0.006832,               0.006832,               0.006832
                     10,                0.98966,                 1.1541,                 1.5797,                0.75184,                 0.7259,                0.78562,                0.40445,                 1.7011,                 1.2423,                 2.5718,               0.006436,               0.006436,               0.006436
                     11,                 1.0071,                 1.0955,                 1.5896,                0.57466,                0.43333,                0.40982,                 0.2295,                 1.9561,                 1.7301,                 2.8134,                0.00604,                0.00604,                0.00604
                     12,                 0.9805,                 1.1068,                 1.5516,                0.65174,                0.61667,                 0.5933,                0.26025,                 1.8023,                 1.4967,                 2.6368,               0.005644,               0.005644,               0.005644
                     13,                0.94457,                  1.043,                 1.5161,                0.50727,                0.63889,                 0.5178,                0.21759,                 1.8095,                 1.7032,                  2.755,               0.005248,               0.005248,               0.005248
                     14,                0.95768,                0.99272,                 1.5474,                0.80892,                0.49444,                0.48593,                0.25147,                 1.9812,                  1.886,                 3.0633,               0.004852,               0.004852,               0.004852
                     15,                 1.1683,                 1.0398,                 1.8754,                  0.376,                0.57778,                0.54703,                0.24828,                 1.7286,                 1.4915,                 2.6824,               0.004456,               0.004456,               0.004456
                     16,                 1.1087,                0.94654,                 1.8476,                0.63862,                0.60556,                0.55524,                0.29464,                 1.6432,                 1.4703,                 2.6338,                0.00406,                0.00406,                0.00406
                     17,                 1.1318,                0.94003,                 1.8539,                0.65147,                0.81111,                0.68767,                0.36682,                 1.6739,                 1.0687,                 2.5766,               0.003664,               0.003664,               0.003664
                     18,                 1.0672,                0.83761,                 1.7725,                0.66763,                0.69444,                0.69545,                0.35293,                 1.7296,                 1.0212,                 2.4981,               0.003268,               0.003268,               0.003268
                     19,                 1.0636,                0.83162,                  1.771,                0.77211,                0.62778,                0.73609,                0.35932,                  1.697,                 1.1814,                 2.6016,               0.002872,               0.002872,               0.002872
                     20,                 1.0257,                0.78285,                 1.7325,                0.74775,                0.86667,                0.85086,                0.44479,                 1.6346,                 1.0006,                 2.5152,               0.002476,               0.002476,               0.002476
                     21,                0.99607,                0.75699,                  1.702,                0.85869,                0.62543,                 0.7608,                0.41631,                  1.581,                 1.1152,                 2.3997,                0.00208,                0.00208,                0.00208
                     22,                0.97763,                0.72638,                 1.6808,                0.92736,                0.85892,                0.86311,                0.45466,                 1.5936,                0.93656,                 2.3776,               0.001684,               0.001684,               0.001684
                     23,                0.94638,                0.69706,                 1.6669,                0.64252,                0.65556,                0.60039,                0.33651,                 1.5448,                 1.1028,                 2.4416,               0.001288,               0.001288,               0.001288
                     24,                0.93868,                0.66467,                 1.6412,                0.82819,                0.87778,                0.85651,                0.45929,                 1.4933,                0.92472,                 2.2912,               0.000892,               0.000892,               0.000892
